Nome do Jogo,App ID,Tipo de Aplicativo,Desenvolvedor,Publicador,Franquia,Sistemas Suportados,Tecnologias Utilizadas,Última Atualização de Registro,Data de Lançamento,Link do Jogo
Order of War,34600,Game,Wargaming.net,Square Enix,N/A,N/A,N/A,18 May 2024 – 01:28:57 UTC (),22 September 2009 – 07:00:00 UTC (),https://steamdb.info/app/34600/
Mini Ninjas,35000,Game,IO Interactive,Square Enix,N/A,", ",N/A,18 May 2024 – 01:28:57 UTC (),9 October 2009 – 07:00:00 UTC (),https://steamdb.info/app/35000/
Lara Croft and the Guardian of Light,35130,Game,Crystal Dynamics,Crystal Dynamics,Tomb Raider,", ",N/A,7 March 2024 – 19:00:38 UTC (),28 September 2010 – 16:00:00 UTC (),https://steamdb.info/app/35130/
Faerie Solitaire,38600,Game,Subsoap,Subsoap,"Subsoap, Faerie Solitaire, FaeVerse","Windows, macOS, Linux, , ",N/A,18 May 2024 – 01:28:57 UTC (),16 September 2010 – 22:49:00 UTC (),https://steamdb.info/app/38600/
Dungeon Siege,39190,Game,Gas Powered Games,Square Enix,N/A,", ",N/A,23 April 2024 – 19:12:05 UTC (),5 April 2011 – 16:12:00 UTC (),https://steamdb.info/app/39190/
Dungeon Siege 2,39200,Game,Gas Powered Games,Square Enix,N/A,Windows,N/A,18 May 2024 – 01:28:57 UTC (),16 August 2005 – 07:00:00 UTC (),https://steamdb.info/app/39200/
SpellForce: Platinum Edition,39540,Game,Phenomic,THQ Nordic,SpellForce,"Windows, , ",N/A,18 May 2024 – 01:28:57 UTC (),3 November 2009 (),https://steamdb.info/app/39540/
SpellForce 2 - Anniversary Edition,39550,Game,"Phenomic, THQ Nordic",THQ Nordic,SpellForce,"Windows, , ",N/A,18 May 2024 – 01:28:57 UTC (),29 October 2009 (),https://steamdb.info/app/39550/
Supreme Commander 2,40100,Game,Gas Powered Games,Square Enix,Supreme Commander,"Windows, , ",N/A,18 May 2024 – 01:28:57 UTC (),2 March 2010 – 20:00:00 UTC (),https://steamdb.info/app/40100/
AI War: Fleet Command,40400,Game,"Arcen Games, LLC","Arcen Games, LLC","AI War, Arcen Strategy, Arcenverse","Windows, macOS, Linux, , ",N/A,1 March 2024 – 15:34:40 UTC (),22 October 2009 – 00:14:00 UTC (),https:/steamdb.info/app/40400/,
Stronghold HD,40950,Game,FireFly Studios,FireFly Studios,Firefly Studios' Stronghold,"Windows, , ",N/A,1 April 2024 – 16:05:47 UTC (),19 October 2001 (),https://steamdb.info/app/40950/
Stronghold 2,40960,Game,FireFly Studios,FireFly Studios,Stronghold,"Windows, , ",N/A,11 March 2024 – 15:30:41 UTC (),N/A,https://steamdb.info/app/40960/
Stronghold Crusader HD,40970,Game,FireFly Studios,FireFly Studios,Stronghold,"Windows, , ",N/A,23 April 2024 – 11:12:13 UTC (),31 July 2002 (),https://steamdb.info/app/40970/
Stronghold Legends,40980,Game,FireFly Studios,FireFly Studios,Firefly Studios' Stronghold,"Windows, , ",N/A,1 March 2024 – 15:41:34 UTC (),15 September 2016 – 16:00:00 UTC (),https://steamdb.info/app/40980/
Torchlight,41500,Game,Runic Games,Arc Games,Torchlight,"macOS, Windows, , ",N/A,8 April 2024 – 20:41:16 UTC (),27 October 2009 – 17:14:00 UTC (),https://steamdb.info/app/41500/
Sword of the Stars Complete Collection,42890,Game,Kerberos Productions Inc.,Paradox Interactive,N/A,"Windows, , ",N/A,7 March 2024 – 15:02:53 UTC (),4 June 2010 – 19:36:00 UTC (),https://steamdb.info/app/42890/
Magicka,42910,Game,Arrowhead Game Studios,Paradox Interactive,Magicka,", ",N/A,18 May 2024 – 01:28:57 UTC (),25 January 2011 – 15:51:00 UTC (),https://steamdb.info/app/42910/
Victoria II,42960,Game,Paradox Development Studio,Paradox Interactive,Victoria,"Windows, , ",N/A,18 May 2024 – 01:28:57 UTC (),13 August 2010 – 21:47:00 UTC (),https://steamdb.info/app/42960/
Age of Wonders,61500,Game,Triumph Studios,Paradox Interactive,Age of Wonders,", ",N/A,19 March 2024 – 09:53:56 UTC (),11 October 2010 – 20:50:00 UTC (),https://steamdb.info/app/61500/
Age of Wonders: Shadow Magic,61520,Game,Triumph Studios,Paradox Interactive,N/A,", ",N/A,14 May 2024 – 23:17:03 UTC (),11 October 2010 – 20:51:00 UTC (),https://steamdb.info/app/61520/
Men of War: Vietnam,63940,Game,Fulqrum Publishing,Fulqrum Publishing,"Men of War, Fulqrum","Windows, , ",N/A,18 May 2024 – 01:28:57 UTC (),8 September 2011 (),https://steamdb.info/app/63940/
Men of War: Assault Squad,64000,Game,Digitalmindsoft,Fulqrum Publishing,"Men of War, Fulqrum","Windows, , ",N/A,18 May 2024 – 01:28:57 UTC (),25 February 2011 – 00:00:00 UTC (),https://steamdb.info/app/64000/
Cities in Motion,73010,Game,Colossal Order Ltd.,Paradox Interactive,N/A,"Windows, macOS, Linux",N/A,27 March 2024 – 23:29:45 UTC (),22 February 2011 – 18:09:00 UTC (),https://steamdb.info/app/73010/
Darkest Hour: A Hearts of Iron Game,73170,Game,Martin Ivanov,Paradox Interactive,Hearts of Iron,"Windows, , ",N/A,10 April 2024 – 12:49:24 UTC (),8 April 2011 – 23:12:00 UTC (),https://steamdb.info/app/73170/
Sanctum,91600,Game,Coffee Stain Studios,Coffee Stain Publishing,N/A,"Windows, macOS, , ",N/A,6 April 2024 – 20:08:05 UTC (),15 April 2011 – 17:50:00 UTC (),https://steamdb.info/app/91600/
Puzzle Agent 2,94590,Game,Telltale,Telltale,N/A,"Windows, macOS, , ",N/A,18 May 2024 – 01:28:28 UTC (),30 June 2011 – 23:58:00 UTC (),https://steamdb.info/app/94590/
Orcs Must Die!,102600,Game,Robot Entertainment,Robot Entertainment,N/A,"Windows, , ",N/A,18 May 2024 – 01:28:28 UTC (),12 October 2011 – 19:00:00 UTC (),https://steamdb.info/app/102600/
Space Pirates and Zombies,107200,Game,MinMax Games Ltd.,MinMax Games Ltd.,N/A,"Windows, macOS, Linux, , ",N/A,18 May 2024 – 01:28:28 UTC (),15 August 2011 – 17:00:00 UTC (),https://steamdb.info/app/107200/
L.A. Noire,110800,Game,"Team Bondi, Rockstar Leeds",Rockstar Games,N/A,", ",N/A,16 May 2024 – 15:42:26 UTC (),8 November 2011 (),https://steamdb.info/app/110800/
Serious Sam Double D XXL,111600,Game,"Mommy's Best Games, Croteam",Devolver Digital,"Serious Sam, Croteam","Windows, , ",N/A,18 May 2024 – 01:28:28 UTC (),30 August 2011 – 20:39:00 UTC (),https://steamdb.info/ap/111600/,
Monaco,113020,Game,Pocketwatch Games,Humble Games,Humble Games,"Windows, macOS, Linux, , ",N/A,18 May 2024 – 01:28:28 UTC (),24 April 2013 (),https://steamdb.info/app/113020/
Quantum Conundrum,200010,Game,Airtight Games,Square Enix,N/A,", ",N/A,18 May 2024 – 01:28:28 UTC (),21 June 2012 – 19:00:00 UTC (),https://steamdb.info/app/200010/
A Game of Dwarves,200370,Game,Zeal Game Studio,Paradox Interactive,N/A,N/A,N/A,16 April 2024 – 12:16:12 UTC (),23 October 2012 (),https://steamdb.info/app/200370/
Torchlight II,200710,Game,Runic Games,Arc Games,Torchlight,"Windows, macOS, Linux, , ",N/A,8 April 2024 – 20:39:13 UTC (),20 September 2012 (),https://steamdb.info/app/200710/
Orcs Must Die! 2,201790,Game,Robot Entertainment,Robot Entertainment,N/A,"Windows, , ",N/A,18 May 2024 – 01:28:28 UTC (),30 July 2012 – 17:00:00 UTC (),https://steamdb.info/app/201790/
Tomb Raider,203160,Game,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Nixxes","Crystal Dynamics, Feral Interactive (Mac)",Tomb Raider,"Windows, macOS, Linux, , ",N/A,18 April 2024 – 22:28:07 UTC ()5 March 2013 (),https://steamdb.info/app/203160/,
Warlock - Master of the Arcane,203630,Game,Ino-Co Plus,Paradox Interactive,N/A,", ",N/A,12 March 2024 – 10:16:09 UTC (),8 May 2012 – 17:00:00 UTC (),https://steamdb.info/app/203630/
Max Payne 3,204100,Game,Rockstar Studios,Rockstar Games,N/A,"Windows, macOS, , ",N/A,16 May 2024 – 15:42:26 UTC (),1 June 2012 (),https://steamdb.info/app/204100/
Men of War: Condemned Heroes,204860,Game,Fulqrum Publishing,Fulqrum Publishing,"Men of War, Fulqrum","Windows, , ",N/A,18 May 2024 – 01:28:28 UTC (),12 April 2012 – 17:30:00 UTC (),https://steamdb.info/app/20486/,
Sins of a Solar Empire: Rebellion,204880,Game,"Ironclad Games, Stardock Entertainment",Stardock Entertainment,"Sins of a Solar Empire, Stardock","Windows, , ",N/A,7 May 2024 – 08:57:22 UTC (),12 June 2012 (),htts://steamdb.info/app/204880/,
Warlock 2: the Exiled,205990,Game,Ino-Co Plus,Paradox Interactive,N/A,"Windows, macOS, Linux, , ",N/A,7 March 2024 – 16:50:04 UTC (),10 April 2014 – 16:44:00 UTC (),https://steamdb.info/app/205990/
Legend of Grimrock,207170,Game,Almost Human Games,Almost Human Games,N/A,"Windows, macOS, Linux, , ",N/A,18 May 2024 – 01:28:28 UTC (),11 April 2012 – 17:00:00 UTC (),https://steamdb.info/app/207170/
Sacred Citadel,207930,Game,Southend,THQ Nordic,Sacred,"Windows, , ",N/A,18 May 2024 – 01:28:28 UTC (),16 April 2013 – 22:00:00 UTC (),https://steamdb.info/app/207930/
ENDLESS™ Space - Definitive Edition,208140,Game,AMPLITUDE Studios,SEGA,AmplitudeStudios,"Windows, macOS, , ",N/A,18 May 2024 – 01:28:28 UTC (),4 July 2012 – 17:00:00 UTC (),https://steamdb.info/app/208140/
Sanctum 2,210770,Game,Coffee Stain Studios,Coffee Stain Publishing,N/A,"Windows, macOS, Linux, , ",N/A,30 April 2024 – 09:46:46 UTC (),15 May 2013 – 17:00:00 UTC (),https://steamdb.info/app/210770/
They Bleed Pixels,211260,Game,Spooky Squid Games Inc.,Spooky Squid Games Inc.,N/A,"Windows, macOS, Linux, , ",N/A,9 May 2024 – 13:53:23 UTC (),29 August 2012 – 18:33:00 UTC (),https://steamdb.info/app/211260/
Thief Gold,211600,Game,Looking Glass Studios,Eidos Interactive Corp.,N/A,", ",N/A,18 May 2024 – 01:28:28 UTC (),22 May 2012 – 16:45:00 UTC (),https://steamdb.info/app/211600/
Thief™ II: The Metal Age,211740,Game,Looking Glass Studios,Eidos Interactive Corp.,N/A,", ",N/A,18 May 2024 – 01:28:28 UTC (),22 May 2012 – 16:45:00 UTC (),https://steamdb.info/app/211740/
Conflict Desert Storm,211780,Game,Pivotal Games,Square Enix,N/A,", ",N/A,18 May 2024 – 01:28:28 UTC (),13 September 2002 (),https://steamdb.info/app/211780/
FTL: Faster Than Light,212680,Game,Subset Games,Subset Games,N/A,"Windows, macOS, Linux, , ",N/A,11 March 2024 – 22:57:17 UTC (),14 September 2012 – 17:00:00 UTC (),https://steamdb.info/app/212680/
Hotline Miami,219150,Game,Dennaton Games,Devolver Digital,Devolver Digital,"Windows, macOS, Linux, , ",N/A,12 May 2024 – 04:26:43 UTC (),23 October 2012 – 17:03:00 UTC (),https://steamdb.info/app/219150/
Don't Starve,219740,Game,Klei Entertainment,Klei Entertainment,Klei Entertainment,"Windows, macOS, Linux, , ",N/A,19 May 2024 – 07:35:59 UTC (),23 April 2013 – 17:00:00 UTC (),https://steamdb.info/app/219740/
Cargo Commander,220460,Game,Serious Brew,Serious Brew,N/A,"Windows, macOS, Linux, , ",N/A,1 April 2024 – 12:05:43 UTC (),1 November 2012 (),https://steamdb.info/app/220460/
Thomas Was Alone,220780,Game,Bithell Games,Bithell Games,N/A,"Windows, macOS, Linux, , ",N/A,18 May 2024 – 01:28:28 UTC (),12 November 2012 – 17:50:00 UTC (),https://steamdb.info/app/220780/
Giana Sisters: Twisted Dreams,223220,Game,Black Forest Games,"HandyGames, Black Forest Games","Giana Sisters, Black Forest Games","Windows, , ",N/A,26 April 2024 – 08:38:02 UTC (),22 October 2012 – 23:00:00 UTC ),https://steamdb.info/app/223220/,
Sea Dogs: To Each His Own,223330,Game,BlackMark Studio,"Akella, Valkyrie Initiative",Valkyrie Initiative,Windows,N/A,18 May 2024 – 01:28:28 UTC (),12 February 2016 (),https://steamdb.info/app/223330/
Miasmata,223510,Game,IonFx,IonFX Studios,N/A,", ",N/A,18 May 2024 – 01:28:28 UTC (),28 November 2012 (),https://steamdb.info/app/223510/
Legacy of Kain: Defiance,224300,Game,Crystal Dynamics,Crystal Dynamics,N/A,"Windows, , ",N/A,18 May 2024 – 01:28:28 UTC (),17 December 2003 (),https://steamdb.info/app/224300/
Legacy of Kain: Soul Reaver 2,224940,Game,Crystal Dynamics,Crystal Dynamics,N/A,"Windows, , ",N/A,18 May 2024 – 01:28:28 UTC (),20 November 2001 (),https://steamdb.info/app/224940/
Tomb Raider: The Last Revelation,224980,Game,Core Design,Crystal Dynamics,Tomb Raider,", ",N/A,7 March 2024 – 18:55:49 UTC (),28 November 2012 (),https://steamdb.info/app/224980/
Tomb Raider: Chronicles,225000,Game,Core Design,Crystal Dynamics,Tomb Raider,", ",N/A,7 March 2024 – 18:54:30 UTC (),28 November 2012 (),https://steamdb.info/app/225000/
Full Mojo Rampage,225280,Game,Over the Top Games,Over The Top Games,N/A,"Windows, , ",N/A,18 May 2024 – 01:28:28 UTC (),8 May 2014 – 16:00:33 UTC (),https://steamdb.info/app/225280/
Just Cause 3,225540,Game,Avalanche Studios,Square Enix,Just Cause,"Windows, , ",N/A,18 May 2024 – 15:26:36 UTC (),1 December 2015 – 00:02:00 UTC (),https://steamdb.info/app/225540/
Sacred 2 Gold,225640,Game,Studio II,THQ Nordic,Sacred,", ",N/A,18 May 2024 – 01:27:05 UTC (),22 December 2012 (),https://steamdb.info/app/225640/
Weird Worlds: Return to Infinite Space,226120,Game,Digital Eel,Digital Eel,N/A,"Windows, macOS, Linux, , ",N/A,18 May 2024 – 01:27:05 UTC (),19 March 2013 (),https://steamdb.info/app/226120/
Desktop Dungeons,226620,Game,QCF Design,QCF Design,N/A,"Windows, macOS, Linux, , ",N/A,18 May 2024 – 01:27:05 UTC (),7 November 2013 – 18:08:00 UTC (),https://steamdb.info/app/226620/
Age of Wonders III,226840,Game,Triumph Studios,Paradox Interactive,Age of Wonders,"Windows, macOS, Linux, , ",N/A,12 March 2024 – 10:57:32 UTC (),31 March 2014 – 16:00:00 UTC (),https://steamdb.info/app/226840/
Galactic Civilizations III,226860,Game,Stardock Entertainment,Stardock Entertainment,"Galactic Civilizations, Stardock","Windows, , ",N/A,18 May 2024 – 01:27:05 UTC (),14 May 2015 – 17:05:00 UTC (),https://steamb.info/app/226860/,
Euro Truck Simulator 2,227300,Game,SCS Software,SCS Software,SCS Software,"Windows, macOS, Linux, , ",N/A,19 May 2024 – 02:18:07 UTC (),18 October 2012 (),https://steamdb.info/app/227300/
Dungeon Hearts,229520,Game,Cube Roots,Devolver Digital,N/A,"Windows, macOS, Linux",N/A,19 April 2024 – 05:39:22 UTC (),28 March 2013 (),https://steamdb.info/app/229520/
